,State,State URL Slug,Restrictive Category,Current Policies,Abortions Obtained in 2020,"Abortions per 1,000 WORA in 2020",Appx. Number of WORA,Abortion Clinics,Counties w/o Abortion Providers,% WORA w/o County Abortion Provider,% WORA Residents Non-US,% WORA Below FPL,% WORA: Hispanic,% WORA: Black,% WORA: White,% WORA: Asian,% WORA: Other,% WORA: 15-17 Years,% WORA: 18-19 Years,% WORA: 20-24 Years,% WORA: 25-29 Years,% WORA: 30-39 Years,% WORA: 40-49 Years,Avg. Distance (mi): 6 Weeks,Avg. Distance (mi): 12 Weeks,Avg. Distance (mi): 14 Weeks,Avg. Distance (mi): 20 Weeks,Avg. Distance (mi): 22 Weeks,Avg. Distance (mi): 24 Weeks,Avg. Distance (mi): 24+ Weeks
0,Alabama,alabama,Most Restrictive,Abortion is completely banned with very limited exceptions | State constitution explicitly excludes abortion rights | Patients forced to wait 48 hours after counseling (not required to be in-person) to obtain an abortion | State Medicaid coverage of abortion care is banned except in very limited circumstances | Medication abortion must be provided in person because state bans the use of telehealth or mailing pills or requires in-person visit | Parental consent or notice is required for a minor's abortion | Only physicians can provide abortions and not other qualified health care professionals | Unnecessary regulations are in force and designed to shutter abortion clinics without basis in medical standards,5700,6.0,1100000.0,5,93,59,4,35,5.0,29.0,60.0,2.0,5.0,8.0,6.0,14.0,15.0,29.0,28.0,,115.0,118.0,137.0,179.0,474.0,507.0
1,Alaska,alaska,Protective,Only physicians can provide abortions and not other qualified health care professionals |Abortion is not restricted based on gestational age | State Medicaid funds cover abortion,1240,8.6,161000.0,4,86,32,10,21,8.0,3.0,52.0,8.0,29.0,8.0,4.0,10.0,18.0,33.0,26.0,,9.0,11.0,,,,
2,Arizona,arizona,Restrictive,"Pre-Roe abortion ban is still in place and can be enforced if Roe is overturned |Abortion is banned at fetal viability, generally 24–26 weeks of pregnancy | Patients forced to make two trips—one for in-person counseling and another at least 24 hours later for the abortion | State Medicaid coverage of abortion care is banned except in very limited circumstances | Medication abortion must be provided in person because state bans the use of telehealth or mailing pills or requires in-person visit | Parental consent or notice is required for a minor's abortion | Only physicians can provide abortions and not other qualified health care professionals |Medication abortion is restricted through unnecessary regulations | Unnecessary regulations are in force and designed to shutter abortion clinics without basis in medical standards",13320,9.3,1600000.0,8,80,18,15,33,38.0,5.0,45.0,4.0,9.0,8.0,6.0,15.0,15.0,28.0,27.0,,,,11.0,,22.0,25.0
3,Arkansas,arkansas,Most Restrictive,Abortion is completely banned with very limited exceptions | Patients forced to make two trips—one for in-person counseling and another at least 72 hours later for the abortion| State Medicaid coverage of abortion care is banned except in very limited circumstances | Medication abortion must be provided in person because state bans the use of telehealth or mailing pills or requires in-person visit | Parental consent or notice is required for a minor's abortion | Only physicians can provide abortions and not other qualified health care professionals | Medication abortion is restricted through unnecessary regulations | Unnecessary regulations are in force and designed to shutter abortion clinics without basis in medical standards,3250,5.6,674000.0,3,97,77,6,41,9.0,17.0,65.0,2.0,7.0,9.0,6.0,14.0,15.0,29.0,28.0,,,,160.0,328.0,,360.0
4,California,california,Protective,"Abortion is banned at fetal viability, generally 24–26 weeks of pregnancy  | State Medicaid funds cover abortion  | Private health insurance plans are required to cover abortion |  Qualified health care professionals, not solely physicians, can provide abortions  | Protections for patients and abortion clinic staff",154060,19.2,9200000.0,161,40,3,28,28,44.0,5.0,30.0,16.0,5.0,8.0,5.0,14.0,16.0,30.0,27.0,,4.0,8.0,9.0,12.0,,14.0
5,Colorado,colorado,Protective,"Abortion is not restricted based on gestational age | State Medicaid coverage of abortion care is banned except in very limited circumstances | Parental consent or notice is required for a minor's abortion | Qualified health care professionals, not solely physicians, can provide abortions | Protections for patients and abortion clinic staff",13420,11.2,1400000.0,18,80,27,12,24,24.0,4.0,62.0,4.0,5.0,8.0,5.0,13.0,16.0,32.0,26.0,,9.0,,11.0,20.0,22.0,851.0
6,Connecticut,connecticut,Some Restrictions/Protections,"Abortion is banned at fetal viability, generally 24–26 weeks of pregnancy | Unnecessary regulations are in force and designed to shutter abortion clinics without basis in medical standards | State Medicaid funds cover abortion | Qualified health care professionals, not solely physicians, can provide abortions",11170,16.7,780000.0,26,13,5,18,23,21.0,12.0,57.0,6.0,4.0,8.0,6.0,15.0,13.0,28.0,29.0,,6.0,,15.0,,17.0,64.0
7,DC,dc,Some Restrictions/Protections,State Medicaid coverage of abortion care is banned except in very limited circumstances | Minors’ right to abortion is affirmed,9410,48.9,212000.0,4,0,0,14,18,12.0,34.0,42.0,6.0,6.0,5.0,6.0,13.0,23.0,35.0,18.0,,,,7.0,,15.0,50.0
8,Delaware,delaware,Some Restrictions/Protections,"Abortion is banned at fetal viability, generally 24–26 weeks of pregnancy | State Medicaid coverage of abortion care is banned except in very limited circumstances | Parental consent or notice is required for a minor's abortion | Qualified health care professionals, not solely physicians, can provide abortions",1830,10.0,207000.0,4,33,18,13,30,12.0,23.0,53.0,5.0,6.0,9.0,7.0,12.0,15.0,30.0,27.0,,,,2.0,,,3.0
9,Florida,florida,Restrictive,Abortion is banned at 24 weeks and later  | Patients forced to make two trips—one for in-person counseling and another at least 24 hours later for the abortion  | State Medicaid coverage of abortion care is banned except in very limited circumstances  | Parental consent or notice is required for a minor's abortion  | Only physicians can provide abortions and not other qualified health care professionals  |Unnecessary regulations are in force and designed to shutter abortion clinics without basis in medical standards,77400,19.7,4600000.0,65,73,24,24,32,31.0,17.0,44.0,3.0,5.0,8.0,5.0,14.0,15.0,30.0,29.0,,8.0,10.0,12.0,16.0,22.0,910.0
10,Georgia,georgia,Restrictive,Abortion is banned at 22 weeks and later | Patients forced to wait 24 hours after counseling (not required to be in-person) to obtain an abortion | State Medicaid coverage of abortion care is banned except in very limited circumstances  | Parental consent or notice is required for a minor's abortion  |Only physicians can provide abortions and not other qualified health care professionals,41620,18.9,2600000.0,15,95,55,13,34,11.0,34.0,45.0,5.0,5.0,8.0,6.0,14.0,14.0,29.0,28.0,,17.0,24.0,29.0,38.0,450.0,558.0
11,Hawaii,hawaii,Some Restrictions/Protections,"Abortion is banned at fetal viability, generally 24–26 weeks of pregnancy | State Medicaid funds cover abortion  | Qualified health care professionals, not solely physicians, can provide abortions",3130,12.1,301000.0,4,40,5,19,24,13.0,2.0,18.0,33.0,35.0,7.0,5.0,13.0,15.0,31.0,29.0,13.0,,,14.0,,19.0,0.0
