U.S. State,"% change in abortion rate (the no. of abortions per 1,000 women aged 15-44), by state of occurrence, 2014-2017","% change in the no. of abortion clinics, 2014-2017 [2]","% change in the no. of abortion providers, 2014-2017 [2]","% change in women who likely need public support for contraceptive services and supplies, 2016","% of all U.S. abortions, by state of occurrence, 2017","% of women aged 15-44 covered by Medicaid, 2017","% of women aged 15-44 covered by private insurance, 2017","% of women aged 15-44 who are uninsured, 2017","% uninsured, women aged 20-44 and <138% of the federal poverty level who likely need public support for contraceptive services and supplies, 2016","% uninsured, women aged 20-44 and between 138% and 250% of the federal poverty level who likely need public support for contraceptive services and supplies, 2016","% uninsured, women who likely need public support for contraceptive services and supplies, 2016","% uninsured, women younger than 20 who likely need public support for contraceptive services and supplies, 2016","Abortion rate (the no. of abortions per 1,000 women aged 15-44), by state of occurrence, 2017","Annual family planning cost per client, 2016","Change in the no. of abortion clinics, 2014-2017 [2]","Change in the no. of abortion providers, 2014-2017 [2]","Cost per Medicaid-funded birth, including delivery, infant and child costs, 2016","No. of abortion clinics, 2017 [2]","No. of abortion providers, 2017 [2]","No. of abortions, by state of occurrence, 2017 [1]","No. of female contraceptive clients served at publicly funded centers , 2016","No. of female contraceptive clients younger than 20 served at publicly funded centers, 2016","No. of publicly funded family planning centers, 2015","No. of women who likely need public support for contraceptive services and supplies, Hispanic, 2016","No. of women who likely need public support for contraceptive services and supplies, Hispanic, aged 20-44 and below 250% of the federal poverty level, 2016","No. of women who likely need public support for contraceptive services and supplies, Hispanic, younger than 20, 2016","No. of women who likely need public support for contraceptive services and supplies, aged 13-44, 2016","No. of women who likely need public support for contraceptive services and supplies, aged 20-44 and at 100-137% of the federal poverty level, 2016","No. of women who likely need public support for contraceptive services and supplies, aged 20-44 and at 138-199% of the federal poverty level, 2016","No. of women who likely need public support for contraceptive services and supplies, aged 20-44 and at 200-249% of the federal poverty level, 2016","No. of women who likely need public support for contraceptive services and supplies, aged 20-44 and below 250% of the federal poverty level, 2016","No. of women who likely need public support for contraceptive services and supplies, aged 20-44 and below the federal poverty level, 2016","No. of women who likely need public support for contraceptive services and supplies, non-Hispanic black, 2016","No. of women who likely need public support for contraceptive services and supplies, non-Hispanic black, aged 20-44 and below 250% of the federal poverty level, 2016","No. of women who likely need public support for contraceptive services and supplies, non-Hispanic black, younger than 20, 2016","No. of women who likely need public support for contraceptive services and supplies, non-Hispanic white, 2016","No. of women who likely need public support for contraceptive services and supplies, non-Hispanic white, aged 20-44 and below 250% of the federal poverty level, 2016","No. of women who likely need public support for contraceptive services and supplies, non-Hispanic white, younger than 20, 2016","No. of women who likely need public support for contraceptive services and supplies, younger than 20, 2016","No. uninsured, women aged 20-44 and <138% of the federal poverty level who likely need public support for contraceptive services and supplies, 2016","No. uninsured, women aged 20-44 and between 138% and 250% of the federal poverty level who likely need public support for contraceptive services and supplies, 2016","No. uninsured, women who likely need public support for contraceptive services and supplies, 2016","No. uninsured, women younger than 20 who likely need public support for contraceptive services and supplies, 2016","Population of women aged 13-44, 2016","Total no. of pregnancies among women aged 15-44, 2017","Total no. of women aged 15-44, 2017"
Alabama,-23,0,-22,10,0.7,18,63,14,28,18,19,6,6.4,514,0,-2,"20,113",5,7,"6,110","97,600","20,300",187,"17,990","14,590","3,400","351,220","44,460","63,250","48,360","277,010","120,940","136,500","112,490","24,010","184,860","140,350","44,510","74,210","63,650","31,910","105,600","10,050","1,014,030","79,150","949,949"
Alaska,-14,33,-25,6,0.1,24,49,15,31,32,25,10,8.6,439,1,-2,"45,083",4,6,"1,260","21,640","4,750",157,"4,140","3,340",810,"39,770","5,420","8,370","7,240","30,340","9,310","1,740","1,300",440,"19,980","14,610","5,370","9,430","7,400","7,680","16,940","1,870","155,560","14,090","146,072"
Arizona,-6,-11,-8,8,1.4,24,60,13,21,16,16,12,9.2,262,-1,-1,"31,821",8,11,"12,400","88,140","16,500",232,"207,770","167,450","40,320","465,750","61,450","91,650","70,870","367,470","143,500","25,160","19,990","5,160","181,020","136,430","44,590","98,270","61,450","39,850","127,440","26,140","1,418,140","112,840","1,345,764"
Arkansas,-30,0,0,13,0.4,28,58,11,20,15,15,8,5.5,215,0,0,"27,636",3,4,"3,200","50,960","10,610",163,"22,470","18,020","4,440","223,810","32,560","44,420","31,160","177,110","68,970","50,790","41,570","9,220","140,190","108,960","31,230","46,710","28,600","17,880","55,400","8,930","614,890","49,110","577,447"
California,-16,6,-18,2,15.4,27,62,9,18,15,13,6,16.4,354,9,-93,"15,366",161,419,"132,680","1,618,010","252,840","1,697","1,366,050","1,102,300","263,760","2,526,010","334,600","524,850","390,800","1,998,580","748,320","170,290","135,760","34,530","630,140","468,270","161,870","527,440","282,950","197,880","551,740","70,910","8,557,280","710,510","8,104,632"
Colorado,-10,-14,-11,9,1.4,20,66,10,18,15,13,6,10.9,374,-3,-4,"17,170",18,32,"12,390","115,490","23,720",221,"105,270","83,670","21,600","334,150","42,250","69,350","58,600","257,470","87,270","17,410","13,880","3,540","186,770","139,690","47,080","76,680","34,810","28,120","72,510","9,590","1,193,540","89,470","1,137,745"
Connecticut,-8,4,-8,3,1.4,23,68,7,13,13,9,3,17.7,235,1,-5,"25,935",26,54,"11,910","68,130","14,160",92,"50,440","40,300","10,140","180,670","21,210","32,370","26,820","125,670","45,270","30,400","23,690","6,700","86,370","51,340","35,030","55,000","12,820","12,260","28,190","3,110","717,880","55,410","672,949"
Delaware,-37,33,0,7,0.2,19,70,7,12,16,10,2,10.5,296,1,0,"29,668",4,6,"1,900","16,080","4,510",41,"8,020","6,490","1,530","54,050","5,580","9,890","8,380","40,330","16,480","16,310","12,450","3,860","26,320","18,760","7,560","13,720","3,780","4,410","8,810",620,"191,040","16,070","180,343"
District of Columbia,-8,-20,-11,11,0.7,21,73,3,5,14,7,3,30.2,366,-1,-1,"29,661",4,8,"5,630","43,600","7,370",31,"5,990","4,980","1,010","49,390","5,290","8,650","6,610","39,350","18,800","27,700","22,150","5,540","12,700","9,720","2,990","10,040","1,890","2,750","5,210",560,"189,250","15,800","186,464"
Florida,-10,-8,-1,19,8.2,17,62,18,32,22,23,12,18.6,356,-6,-1,"23,378",65,85,"71,050","214,450","40,050",430,"410,370","340,150","70,220","1,329,300","181,490","290,520","214,500","1,069,050","382,530","322,630","264,700","57,930","531,220","410,280","120,950","260,260","269,070","161,870","501,660","70,730","3,988,320","343,850","3,828,199"
