Index,State,State URL Slug,Restrictive Category,Current Policies,Abortions Obtained in 2020,"Abortions per 1,000 WORA in 2020",Appx. Number of WORA,Abortion Clinics,Counties without Abortion Providers,% WORA without County Abortion Provider,% WORA Residents Non-US,% WORA Below FPL,% WORA: Hispanic,% WORA: Black,% WORA: White,% WORA: Asian,% WORA: Other,% WORA: 15-17 Years,% WORA: 18-19 Years,% WORA: 20-24 Years,% WORA: 25-29 Years,% WORA: 30-39 Years,% WORA: 40-49 Years,Avg. Distance (mi): 6 Weeks,Avg. Distance (mi): 12 Weeks,Avg. Distance (mi): 14 Weeks,Avg. Distance (mi): 20 Weeks,Avg. Distance (mi): 22 Weeks,Avg. Distance (mi): 24 Weeks,Avg. Distance (mi): 24+ Weeks
0,Alabama,alabama,Most Restrictive,Abortion is completely banned with very limited exceptions | State constitution explicitly excludes abortion rights | Patients forced to wait 48 hours after counseling (not required to be in-person) to obtain an abortion | State Medicaid coverage of abortion care is banned except in very limited circumstances | Medication abortion must be provided in person because state bans the use of telehealth or mailing pills or requires in-person visit | Parental consent or notice is required for a minor's abortion | Only physicians can provide abortions and not other qualified health care professionals | Unnecessary regulations are in force and designed to shutter abortion clinics without basis in medical standards,5700,6,1100000,5,93,59,4,35,5,29,60,2,5,8,6,14,15,29,28,,115,118,137,179,474,507
1,Alaska,alaska,Protective,Only physicians can provide abortions and not other qualified health care professionals |Abortion is not restricted based on gestational age | State Medicaid funds cover abortion,1240,8.6,161000,4,86,32,10,21,8,3,52,8,29,8,4,10,18,33,26,,9,11,,,,
2,Arizona,arizona,Restrictive,"Pre-Roe abortion ban is still in place and can be enforced if Roe is overturned |Abortion is banned at fetal viability, generally 24–26 weeks of pregnancy | Patients forced to make two trips—one for in-person counseling and another at least 24 hours later for the abortion | State Medicaid coverage of abortion care is banned except in very limited circumstances | Medication abortion must be provided in person because state bans the use of telehealth or mailing pills or requires in-person visit | Parental consent or notice is required for a minor's abortion | Only physicians can provide abortions and not other qualified health care professionals |Medication abortion is restricted through unnecessary regulations | Unnecessary regulations are in force and designed to shutter abortion clinics without basis in medical standards",13320,9.3,1600000,8,80,18,15,33,38,5,45,4,9,8,6,15,15,28,27,,,,11,,22,25
3,Arkansas,arkansas,Most Restrictive,Abortion is completely banned with very limited exceptions | Patients forced to make two trips—one for in-person counseling and another at least 72 hours later for the abortion| State Medicaid coverage of abortion care is banned except in very limited circumstances | Medication abortion must be provided in person because state bans the use of telehealth or mailing pills or requires in-person visit | Parental consent or notice is required for a minor's abortion | Only physicians can provide abortions and not other qualified health care professionals | Medication abortion is restricted through unnecessary regulations | Unnecessary regulations are in force and designed to shutter abortion clinics without basis in medical standards,3250,5.6,674000,3,97,77,6,41,9,17,65,2,7,9,6,14,15,29,28,,,,160,328,,360
4,California,california,Protective,"Abortion is banned at fetal viability, generally 24–26 weeks of pregnancy  | State Medicaid funds cover abortion  | Private health insurance plans are required to cover abortion |  Qualified health care professionals, not solely physicians, can provide abortions  | Protections for patients and abortion clinic staff",154060,19.2,9200000,161,40,3,28,28,44,5,30,16,5,8,5,14,16,30,27,,4,8,9,12,,14
5,Colorado,colorado,Protective,"Abortion is not restricted based on gestational age | State Medicaid coverage of abortion care is banned except in very limited circumstances | Parental consent or notice is required for a minor's abortion | Qualified health care professionals, not solely physicians, can provide abortions | Protections for patients and abortion clinic staff",13420,11.2,1400000,18,80,27,12,24,24,4,62,4,5,8,5,13,16,32,26,,9,,11,20,22,851
6,Connecticut,connecticut,Some Restrictions/Protections,"Abortion is banned at fetal viability, generally 24–26 weeks of pregnancy | Unnecessary regulations are in force and designed to shutter abortion clinics without basis in medical standards | State Medicaid funds cover abortion | Qualified health care professionals, not solely physicians, can provide abortions",11170,16.7,780000,26,13,5,18,23,21,12,57,6,4,8,6,15,13,28,29,,6,,15,,17,64
7,DC,dc,Some Restrictions/Protections,State Medicaid coverage of abortion care is banned except in very limited circumstances | Minors’ right to abortion is affirmed,9410,48.9,212000,4,0,0,14,18,12,34,42,6,6,5,6,13,23,35,18,,,,7,,15,50
8,Delaware,delaware,Some Restrictions/Protections,"Abortion is banned at fetal viability, generally 24–26 weeks of pregnancy | State Medicaid coverage of abortion care is banned except in very limited circumstances | Parental consent or notice is required for a minor's abortion | Qualified health care professionals, not solely physicians, can provide abortions",1830,10,207000,4,33,18,13,30,12,23,53,5,6,9,7,12,15,30,27,,,,2,,,3
9,Florida,florida,Restrictive,Abortion is banned at 24 weeks and later  | Patients forced to make two trips—one for in-person counseling and another at least 24 hours later for the abortion  | State Medicaid coverage of abortion care is banned except in very limited circumstances  | Parental consent or notice is required for a minor's abortion  | Only physicians can provide abortions and not other qualified health care professionals  |Unnecessary regulations are in force and designed to shutter abortion clinics without basis in medical standards,77400,19.7,4600000,65,73,24,24,32,31,17,44,3,5,8,5,14,15,30,29,,8,10,12,16,22,910
10,Georgia,georgia,Restrictive,Abortion is banned at 22 weeks and later | Patients forced to wait 24 hours after counseling (not required to be in-person) to obtain an abortion | State Medicaid coverage of abortion care is banned except in very limited circumstances  | Parental consent or notice is required for a minor's abortion  |Only physicians can provide abortions and not other qualified health care professionals,41620,18.9,2600000,15,95,55,13,34,11,34,45,5,5,8,6,14,14,29,28,,17,24,29,38,450,558
11,Hawaii,hawaii,Some Restrictions/Protections,"Abortion is banned at fetal viability, generally 24–26 weeks of pregnancy | State Medicaid funds cover abortion  | Qualified health care professionals, not solely physicians, can provide abortions",3130,12.1,301000,4,40,5,19,24,13,2,18,33,35,7,5,13,15,31,29,13,,,14,,19,0
12,Idaho,idaho,Restrictive,"""Trigger""� ban on abortion is designed to take effect automatically or by quick state action if Roe is overturned  | Abortion is banned at fetal viability, generally 24–26 weeks of pregnancy | Patients forced to wait 24 hours after counseling (not required to be in-person) to obtain an abortion |State Medicaid coverage of abortion care is banned except in very limited circumstances | Private health insurance of abortion is banned except in very limited circumstances | Parental consent or notice is required for a minor's abortion |Only physicians can provide abortions and not other qualified health care professionals",1690,4.8,405000,3,95,67,6,34,15,1,77,2,6,9,6,15,15,29,26,,21,,36,286,,428
13,Illinois,illinois,Protective,"Abortion is banned at fetal viability, generally 24–26 weeks of pregnancy |State Medicaid funds cover abortion |Private health insurance plans are required to cover abortion |Qualified health care professionals, not solely physicians, can provide abortions",52780,21.3,2900000,25,90,37,16,27,20,15,55,7,4,8,5,14,15,29,28,,7,,10,,26,266
